"turnid","athlete","ppo","mpo10","mpo20","mpo20n"
1,"A",640,503.8,494,317.1
2,"A",695,576.1,462.55,221.55
3,"A",790,705.6,533.6,166.7
4,"A",602,507.2,477.8,131.45
5,"A",784,625.6,517.2,185.5
6,"A",705,515.6,437.7,274.5
7,"A",751,602.9,503.8,291.5
8,"A",646,524.5,451.55,263.5
9,"A",704,596,511.7,275.1
10,"A",704,604.5,538.15,246.55
11,"A",665,593.4,522.15,249.4
12,"A",797,470.2,380.65,275.25
13,"A",827,720.6,605.7,125
14,"A",792,559.2,447.2,241.25
15,"A",731,630.6,543.65,182.6
16,"A",692,557.7,584.45,341.6
17,"A",702,624,529,224.9
18,"A",680,503,532.35,366.5
19,"A",784,664.8,494.2,141.85
20,"A",654,589.3,487.55,298.25
21,"A",826,660.4,528.3,99.35
22,"A",745,518.5,424.3,317.85
23,"A",817,692.5,577.35,137.35
24,"A",805,510.4,497.7,186.65
1,"B",808,600.7,479.75,242.35
2,"B",806,536.1,468.15,280.45
3,"B",852,609.9,497.45,213.35
4,"B",503,431.3,445.65,278.15
5,"B",913,644.5,483.95,180
6,"B",863,525.3,457.25,281.25
7,"B",976,744.1,573.95,125.7
8,"B",925,670.1,487.7,167.5
9,"B",934,697.6,517.65,196.2
10,"B",855,557.2,458.8,306.5
11,"B",885,677.2,520.35,192.45
12,"B",877,636.6,394.1,180.9
13,"B",680,550.1,572.7,270.3
14,"B",820,517.5,459.75,283.85
15,"B",923,594.9,495.55,160.05
16,"B",916,620.9,542,220
17,"B",864,671.3,531.85,156.5
18,"B",856,513.4,434.35,315.55
19,"B",922,725.5,521.5,139.2
20,"B",914,694.4,497.45,159.2
21,"B",941,791.8,573.3,116.65
22,"B",840,470.5,405.2,291.6
23,"B",895,694.3,572.9,149.75
24,"B",729,459.4,352.05,199.65
1,"C",NA,NA,NA,NA
2,"C",NA,NA,NA,NA
3,"C",NA,NA,NA,NA
4,"C",NA,NA,NA,NA
5,"C",782,640,480.7,168.1
6,"C",852,542.2,451.2,232.6
7,"C",1052,788.6,589.2,110.1
8,"C",908,636.8,415.3,92.9
9,"C",976,783.2,557.9,112.5
10,"C",558,493.2,463,325.4
11,"C",912,605.2,479.1,168.6
12,"C",798,563.2,381.6,190.1
13,"C",914,597.4,512.2,215.9
14,"C",780,563.6,439.3,243.7
15,"C",700,550.6,516.1,215.1
16,"C",674,513.2,490.9,235.3
17,"C",780,602.2,532.9,166.8
18,"C",686,494.6,437,352.2
19,"C",880,618,502.8,129.3
20,"C",866,471.4,414,227.5
21,"C",856,522.8,469.9,115.9
22,"C",808,592.2,480.4,262.2
23,"C",938,764,633.3,171.1
24,"C",742,509.8,421.5,153.9
1,"D",769,607.2,593.5,304.85
2,"D",803,570.9,467.7,253.8
3,"D",1010,695.6,554.9,112.3
4,"D",851,483.5,389.7,218.95
5,"D",1010,810.2,544.6,113.85
6,"D",731,539.1,447.35,351.75
7,"D",1061,766.4,607,116.55
8,"D",1005,595.7,369.45,110.4
9,"D",931,681.7,537.35,160.05
10,"D",825,553.8,453.85,231.8
11,"D",916,570.9,489.4,195.75
12,"D",710,485.8,397.55,319.8
13,"D",986,810,579.85,128.55
14,"D",523,450.4,387.3,319.2
15,"D",927,672.1,470.25,117.25
16,"D",1000,495.6,413.55,152.9
17,"D",930,594.2,502.3,129.6
18,"D",736,465.2,428.25,404.2
19,"D",909,631.7,492.25,168.7
20,"D",932,436.1,364.6,251.75
21,"D",869,538.4,531.25,144.95
22,"D",759,484.7,407.7,235.25
23,"D",1025,682.5,548.75,148.05
24,"D",783,497.4,414.7,266.4
1,"E",881,769.6,658.05,207.3
2,"E",886,682.7,581.3,254.15
3,"E",901,664.9,563.9,105.8
4,"E",950,718.3,568.15,251.35
5,"E",847,644.3,552.3,109.85
6,"E",622,471.3,406.45,230.75
7,"E",906,720.9,571.2,190.15
8,"E",879,695.4,533.9,187.95
9,"E",843,621.5,506.35,187.35
10,"E",855,629.2,495.8,207.1
11,"E",834,654.8,516.25,184.8
12,"E",923,616.4,436,241.6
13,"E",944,777.1,619.55,205.05
14,"E",953,633.5,448.95,230
15,"E",933,738,544.2,137.9
16,"E",923,641.4,491.65,194.3
17,"E",861,701.6,558,171.25
18,"E",846,572.1,455.5,368.45
19,"E",853,686.6,548.2,129.05
20,"E",932,646.9,514.15,252.3
21,"E",964,734.1,576.35,138.5
22,"E",838,545.1,491.1,315.35
23,"E",797,587.9,472.95,186.2
24,"E",916,618.7,455.5,159.7
